Serial Number,Error Type,Ungrammatical Statement,Standard English
315,Article Usage,The athlete is preparing for a competition by training a hard.,The athlete is preparing for the competition by training hard.
316,Article Usage,The government is implementing a new policies to improve a economy.,The government is implementing new policies to improve the economy.
317,Relative Clause Errors,The shirt I spilled coffee on it is ruined.,The shirt on which I spilled coffee is ruined.
318,Mixed Metaphors/Idioms,"46. Don't look a gift horse in the mouth, but it's the thought that counts.",46. Don't look a gift horse in the mouth.
319,"Slang, Jargon, and Colloquialisms",13. The new hire's a real whiz kid in Python coding.,13. The new hire is highly skilled in Python programming.
320,Subject-Verb Agreement,The group of students in the club organizes events.,The group of students in the club organize events.
321,Pronoun Errors,The volunteers cleaned the park and made sure it's surroundings were litter-free.,The volunteers cleaned the park and made sure its surroundings were litter-free.
322,Gerund and Participle Errors,"The rain caused the street to flood, result in a traffic jam.","The rain caused the street to flood, resulting in a traffic jam."
323,Negation Errors,You can't eat no ice cream before dinner.,You can't eat any ice cream before dinner.
324,Run-on Sentences,She wasn't feeling well she went to the doctor.,"She wasn't feeling well, so she went to the doctor."
325,Subject-Verb Agreement,The bundle of letters was tied with a ribbon.,The bundle of letters were tied with a ribbon.
326,Punctuation Errors,She is a smart talented and kind person.,"She is a smart, talented, and kind person."
327,Quantifier Errors,All of the clothes in this shop are on sale.,All the clothes in this shop are on sale.
328,Parallelism Errors,"The athlete's training routine includes lifting weights, cardio exercises, and to stretch.","The athlete's training routine includes lifting weights, cardio exercises, and stretching."
329,Subject-Verb Agreement,The assortment of toys in the store is impressive.,The assortment of toys in the store are impressive.
330,Ambiguity,She didn't want to go but she went anyways.,"She didn't want to go, but she went anyway."
331,Sentence Structure Errors,The baby was crying because it was hungry and tired.,The baby was crying because it was hungry and tired.
332,Ambiguity,She don't know how to swim.,She doesn't know how to swim.
333,Contractions Errors,"The cake's taste was amazing, but it's texture was dry.","The cake's taste was amazing, but its texture was dry."
334,Capitalization Errors,"my iphone suddenly stopped working, can you help?","My iPhone suddenly stopped working, can you help?"
335,Run-on Sentences,He studied hard for the exam he passed with flying colors.,"He studied hard for the exam, and he passed with flying colors."
336,Pronoun Errors,The manager will discuss the issue with the employee and there supervisor.,The manager will discuss the issue with the employee and their supervisor.
337,Gerund and Participle Errors,The students were encourage to ask questions during the lecture.,The students were encouraged to ask questions during the lecture.
338,Sentence Structure Errors,She sung a beautiful song at the talent show.,She sang a beautiful song at the talent show.
339,Ambiguity,The book that I found it was interesting.,The book that I found was interesting.
340,Lack of Parallelism in Lists or Series,"The movie was entertaining, suspenseful, and had an unexpected twist.","The movie was entertaining, suspenseful, and featured an unexpected twist."
341,Negation Errors,You can't eat no ice cream before dinner.,You can't eat any ice cream before dinner.
342,Subject-Verb Agreement,The audience enjoys the show immensely.,The audience enjoy the show immensely.
343,Parallelism Errors,"The training focuses on safety, proper technique, and you should build strength gradually.","The training focuses on safety, proper technique, and gradual strength building."
344,Mixed Metaphors/Idioms,"26. When in Rome, do as the Romans do, but don't cry over spilled milk.","26. When in Rome, do as the Romans do."
345,Abbreviation Errors,The atm in the mall is out of svc.,The automated teller machine in the mall is out of service.
346,Relative Clause Errors,The company I work for it has a great benefits package.,The company for which I work has a great benefits package.
347,Sentence Structure Errors,"The concert was very loud, but it was a lot of fun.","The concert was very loud, but it was a lot of fun."
348,Passive Voice Overuse,The computer program was developed by the engineers.,The engineers developed the computer program.
349,Gerund and Participle Errors,The traveler was amaze by the beauty of the landscape.,The traveler was amazed by the beauty of the landscape.
350,"Slang, Jargon, and Colloquialisms",43. He's been working on a top-secret government project.,43. He's been working on a classified government project.
351,Spelling Mistakes,"53. He didn't knew the answer, so he guessed it.","53. He didn't know the answer, so he guessed it."
352,Preposition Usage,The concert will be held in the stadium.,The concert will be held at the stadium.
353,Mixed Metaphors/Idioms,"34. The squeaky wheel gets the grease, but you can't make an omelette without breaking eggs.",34. The squeaky wheel gets the grease.
354,Punctuation Errors,"The cake was delicious, however it was too sweet for my taste.","The cake was delicious; however, it was too sweet for my taste."
355,Contractions Errors,He's watch is expensive and luxurious.,His watch is expensive and luxurious.
356,Lack of Parallelism in Lists or Series,"The organization aims to support local businesses, create jobs, and to stimulate economic growth.","The organization aims to support local businesses, create jobs, and stimulate economic growth."
357,Lack of Parallelism in Lists or Series,"He wants to learn how to play the guitar, speaking French, and cooking gourmet meals.","He wants to learn how to play the guitar, speak French, and cook gourmet meals."
358,Sentence Structure Errors,"The phone rang, but she didn't heard it.","The phone rang, but she didn't hear it."
359,Lack of Parallelism in Lists or Series,"To become a doctor, you need to study hard, be patient, and having good communication skills.","To become a doctor, you need to study hard, be patient, and have good communication skills."
360,Subject-Verb Agreement,The series of lectures on history was very informative.,The series of lectures on history were very informative.
361,Faulty Comparisons,"This software is less user-friendly than the last version, but more than the competitor's.","This software is less user-friendly than the last version, but more user-friendly than the competitor's."
